code,text
There is no procedure of submitting evidence to the committees. Reports of papers that are submitted before a meeting will usually be open to the public on the committee website.,There is no procedure of submitting evidence to the committees. Reports of papers that are submitted before a meeting will usually be open to the public on the committee website.
http://main.knesset.gov.il/Activity/Committees/Economics/Pages/CommiitteeReports.aspx for example. the reports are on each committee website.,http://main.knesset.gov.il/Activity/Committees/Economics/Pages/CommiitteeReports.aspx for example. the reports are on each committee website.
http://main.knesset.gov.il/Activity/Committees/Economics/Pages/Conclusions.aspx  http://main.knesset.gov.il/Activity/committees/Education/Pages/Decisions.aspx,http://main.knesset.gov.il/Activity/Committees/Economics/Pages/Conclusions.aspx  http://main.knesset.gov.il/Activity/committees/Education/Pages/Decisions.aspx
http://www.knesset.gov.il/mk/heb/mk.asp?ID=1,http://www.knesset.gov.il/mk/heb/mk.asp?ID=1
http://www.knesset.gov.il/presence/heb/PresentList.aspx,http://www.knesset.gov.il/presence/heb/PresentList.aspx
http://www.knesset.gov.il/mk/heb/mkexpenses_list.asp,http://www.knesset.gov.il/mk/heb/mkexpenses_list.asp
http://www.knesset.gov.il/lobbyist/heb/lobbyist.aspx,http://www.knesset.gov.il/lobbyist/heb/lobbyist.aspx
It is forbidden for MPs to be involved in comercial bodies. ,It is forbidden for MPs to be involved in comercial bodies. 
http://www.knesset.gov.il/committees/heb/docs/hchlatot.htm,http://www.knesset.gov.il/committees/heb/docs/hchlatot.htm
http://knesset.gov.il/laws/heb/template.asp?Type=1,http://knesset.gov.il/laws/heb/template.asp?Type=1
http://www.knesset.gov.il/protocols/data/rtf/knesset/2014-07-28.rtf,http://www.knesset.gov.il/protocols/data/rtf/knesset/2014-07-28.rtf
http://main.knesset.gov.il/About/Departments/Pages/default.aspx,http://main.knesset.gov.il/About/Departments/Pages/default.aspx
Estonia,Estonia
http://www.riigikogu.ee,http://www.riigikogu.ee
Close to real-time,Close to real-time
http://www.riigikogu.ee/index.php?id=174529,http://www.riigikogu.ee/index.php?id=174529
Email,Email
http://www.riigikogu.ee/index.php?id=31562; in English http://www.riigikogu.ee/index.php?id=34627,http://www.riigikogu.ee/index.php?id=31562; in English http://www.riigikogu.ee/index.php?id=34627
http://www.riigikogu.ee/index.php?id=33652,http://www.riigikogu.ee/index.php?id=33652
http://www.riigikogu.ee/public/Riigikogu/Pildid/RK_TG2014.pdf,http://www.riigikogu.ee/public/Riigikogu/Pildid/RK_TG2014.pdf
http://www.riigikogu.ee/?op=ems&page=tk_nadal,http://www.riigikogu.ee/?op=ems&page=tk_nadal
http://www.riigikogu.ee/index.php?id=31514,http://www.riigikogu.ee/index.php?id=31514
http://www.riigikogu.ee/?op=steno,http://www.riigikogu.ee/?op=steno
http://www.riigikogu.ee/?op=ems&content_type=text/html&page=haaletus_kalender&navbar=no,http://www.riigikogu.ee/?op=ems&content_type=text/html&page=haaletus_kalender&navbar=no
http://www.riigikogu.ee/index.php?op=ems&page=haaletus_isik&isik_id=fe748f4d-3f50-4af8-8069-92a460978d2b& (MP Arto Aas),http://www.riigikogu.ee/index.php?op=ems&page=haaletus_isik&isik_id=fe748f4d-3f50-4af8-8069-92a460978d2b& (MP Arto Aas)
http://www.riigikogu.ee/?op=ems&page=eelnou_nimekiri&emshelp=true&status=ALL&draftStage=MENETLUSSE_VOETUD,http://www.riigikogu.ee/?op=ems&page=eelnou_nimekiri&emshelp=true&status=ALL&draftStage=MENETLUSSE_VOETUD
http://www.riigikogu.ee/?sort=kp&op=ems&page=eelnou_nimekiri&tk_valik=tk_toos&pealkiri_otsi=pealkiri_ainult&emshelp=true;,http://www.riigikogu.ee/?sort=kp&op=ems&page=eelnou_nimekiri&tk_valik=tk_toos&pealkiri_otsi=pealkiri_ainult&emshelp=true;
http://www.riigikogu.ee/?op=ems&page=en_otsing&emshelp=true,http://www.riigikogu.ee/?op=ems&page=en_otsing&emshelp=true
http://www.riigikogu.ee/index.php?id=169295,http://www.riigikogu.ee/index.php?id=169295
http://www.riigikogu.ee/index.php?id=169720&parent_id=169319,http://www.riigikogu.ee/index.php?id=169720&parent_id=169319
Live radio,Live radio
http://www.riigikogu.ee/index.php?id=173840,http://www.riigikogu.ee/index.php?id=173840
http://www.riigikogu.ee/index.php?id=180793,http://www.riigikogu.ee/index.php?id=180793
Regular calender for committee meetings,Regular calender for committee meetings
http://www.riigikogu.ee/index.php?id=169315,http://www.riigikogu.ee/index.php?id=169315
MP can demand to record the vote in the transcript,MP can demand to record the vote in the transcript
"Mp's profile, example: http://www.riigikogu.ee/index.php?op=ems&page=ikaart&pid=fe748f4d-3f50-4af8-8069-92a460978d2b&","Mp's profile, example: http://www.riigikogu.ee/index.php?op=ems&page=ikaart&pid=fe748f4d-3f50-4af8-8069-92a460978d2b&"
"MP's profile, example: http://www.riigikogu.ee/index.php?op=ems&page=ikaart&pid=fe748f4d-3f50-4af8-8069-92a460978d2b& ","MP's profile, example: http://www.riigikogu.ee/index.php?op=ems&page=ikaart&pid=fe748f4d-3f50-4af8-8069-92a460978d2b& "
MP's profile,MP's profile
http://www.emta.ee/index.php?id=12223,http://www.emta.ee/index.php?id=12223
"Parliamentary website, in the minutes of committee meetings","Parliamentary website, in the minutes of committee meetings"
http://www.fin.ee/riigieelarve-2014,http://www.fin.ee/riigieelarve-2014
http://www.riigikogu.ee/index.php?id=48913,http://www.riigikogu.ee/index.php?id=48913
http://www.riigikogu.ee/index.php?id=31515,http://www.riigikogu.ee/index.php?id=31515
Montenegro,Montenegro
http://skupstina.me,http://skupstina.me
http://skupstina.me/index.php/en/skupstina/o-nama/nadleznosti,http://skupstina.me/index.php/en/skupstina/o-nama/nadleznosti
http://skupstina.me/images/documents/rules_of_procedure_00-63-2.pdf,http://skupstina.me/images/documents/rules_of_procedure_00-63-2.pdf
http://skupstina.me/index.php/en/,http://skupstina.me/index.php/en/
http://skupstina.me/index.php/en/sjednice/sjednice-skupstine,http://skupstina.me/index.php/en/sjednice/sjednice-skupstine
Live radio broadcast,Live radio broadcast
http://skupstina.me/index.php/en/online-streaming,http://skupstina.me/index.php/en/online-streaming
http://192.185.34.202/~skupcg/skupstina/cms/site_data/LISTING%20GLASANJA/2014/Deseta%20%C5%9Bednica16_07_2014_/PREDLOG%20ZAKONA%20O%20PREVOZU%20OPASNIH%20MATERIJA_SVE.pdf,http://192.185.34.202/~skupcg/skupstina/cms/site_data/LISTING%20GLASANJA/2014/Deseta%20%C5%9Bednica16_07_2014_/PREDLOG%20ZAKONA%20O%20PREVOZU%20OPASNIH%20MATERIJA_SVE.pdf
http://skupstina.me/index.php/en/sjednice/zakoni-i-drugi-akti,http://skupstina.me/index.php/en/sjednice/zakoni-i-drugi-akti
http://skupstina.me/index.php/en/zakonodavni-odbor/o-radnom-tijelu,http://skupstina.me/index.php/en/zakonodavni-odbor/o-radnom-tijelu
n/a,n/a
Only Media and CSOs can observe or attend the meetings.,Only Media and CSOs can observe or attend the meetings.
http://skupstina.me/index.php/en/component/gcalendar/gcalendar?gcids=4#year=2014&month=9&day=15&view=agendaDay,http://skupstina.me/index.php/en/component/gcalendar/gcalendar?gcids=4#year=2014&month=9&day=15&view=agendaDay
http://skupstina.me/index.php/en/zakonodavni-odbor/sjednice,http://skupstina.me/index.php/en/zakonodavni-odbor/sjednice
http://skupstina.me/~skupcg/skupstina/cms/site_data/DOC25/ZAKONI%20I%20IZVJESTAJI/524/524_2.PDF,http://skupstina.me/~skupcg/skupstina/cms/site_data/DOC25/ZAKONI%20I%20IZVJESTAJI/524/524_2.PDF
http://skupstina.me/index.php/en/zakonodavni-odbor/sastav,http://skupstina.me/index.php/en/zakonodavni-odbor/sastav
http://skupstina.me/index.php/en/skupstina/poslanice-i-poslanici/parlamentarne-partije/30-skupstina/poslanice-i-poslanici/parlamentarne-partije/socijaldemokratska-partija-crne-gore/112-mico-orlandic,http://skupstina.me/index.php/en/skupstina/poslanice-i-poslanici/parlamentarne-partije/30-skupstina/poslanice-i-poslanici/parlamentarne-partije/socijaldemokratska-partija-crne-gore/112-mico-orlandic
http://www.konfliktinteresa.me/new/index.php?option=com_content&view=article&id=160&Itemid=121&lang=me,http://www.konfliktinteresa.me/new/index.php?option=com_content&view=article&id=160&Itemid=121&lang=me
http://skupstina.me/images/dokumenti/pregled_stavki_po_ekonomskoj_klasifikaciji.pdf,http://skupstina.me/images/dokumenti/pregled_stavki_po_ekonomskoj_klasifikaciji.pdf
http://skupstina.me/index.php/en/gradjani/finansije,http://skupstina.me/index.php/en/gradjani/finansije
http://skupstina.me/index.php/en/gradjani/javne-nabavke/ugovori,http://skupstina.me/index.php/en/gradjani/javne-nabavke/ugovori
http://skupstina.me/index.php/en/skupstina/sluzba-skupstine/o-sluzbi,http://skupstina.me/index.php/en/skupstina/sluzba-skupstine/o-sluzbi
http://skupstina.me/index.php/en/skupstina/generalni-sekretar/kancelarija-generalnog-sekretara,http://skupstina.me/index.php/en/skupstina/generalni-sekretar/kancelarija-generalnog-sekretara
Malaysia,Malaysia
http://www.myipo.gov.my/hakcipta ,http://www.myipo.gov.my/hakcipta 
http://www.parlimen.gov.my/,http://www.parlimen.gov.my/
Weekly,Weekly
http://www.parlimen.gov.my/takwim-dewan-rakyat.html?uweb=dr&,http://www.parlimen.gov.my/takwim-dewan-rakyat.html?uweb=dr&
http://www.parlimen.gov.my/hansard-dewan-negara.html?uweb=dn&,http://www.parlimen.gov.my/hansard-dewan-negara.html?uweb=dn&
http://www.parlimen.gov.my/bills-dewan-rakyat.html?uweb=dr&,http://www.parlimen.gov.my/bills-dewan-rakyat.html?uweb=dr&
http://www.parlimen.gov.my/pac/ahli-jawatankuasa-pac.html?,http://www.parlimen.gov.my/pac/ahli-jawatankuasa-pac.html?
http://www.parlimen.gov.my/soalan-lazim.html?uweb=p,http://www.parlimen.gov.my/soalan-lazim.html?uweb=p
http://www.parlimen.gov.my/dasar-privasi.html?uweb=p&,http://www.parlimen.gov.my/dasar-privasi.html?uweb=p&
http://www.parlimen.gov.my/akta-akta.html?uweb=dr&,http://www.parlimen.gov.my/akta-akta.html?uweb=dr&
http://www.parlimen.gov.my/peraturan-mesyuarat.html?uweb=dr&,http://www.parlimen.gov.my/peraturan-mesyuarat.html?uweb=dr&
http://www.parlimen.gov.my/takwim-dewan-rakyat.html?uweb=dr,http://www.parlimen.gov.my/takwim-dewan-rakyat.html?uweb=dr
http://rtmparlimen.rtm.gov.my,http://rtmparlimen.rtm.gov.my
Some political parties provide additional on-line streaming options,Some political parties provide additional on-line streaming options
http://www.parlimen.gov.my/pac/publications.html?,http://www.parlimen.gov.my/pac/publications.html?
http://www.parlimen.gov.my/jawatankuasa-dr.html?uweb=dr&&view=52,http://www.parlimen.gov.my/jawatankuasa-dr.html?uweb=dr&&view=52
http://rtmparlimen.rtm.gov.my/,http://rtmparlimen.rtm.gov.my/
http://www.parlimen.gov.my/pac,http://www.parlimen.gov.my/pac
http://www.parlimen.gov.my/ahli-dewan.html?uweb=dr&,http://www.parlimen.gov.my/ahli-dewan.html?uweb=dr&
http://www.parlimen.gov.my/profile-ahli.html?uweb=dr&id=3105,http://www.parlimen.gov.my/profile-ahli.html?uweb=dr&id=3105
http://www.parlimen.gov.my/arkib-sebutharga-tender.html,http://www.parlimen.gov.my/arkib-sebutharga-tender.html
http://www.parlimen.gov.my/maklumat-umum-sekretariat.html?uweb=p&,http://www.parlimen.gov.my/maklumat-umum-sekretariat.html?uweb=p&
http://www.parlimen.gov.my/direktori-staff.html?uweb=p&,http://www.parlimen.gov.my/direktori-staff.html?uweb=p&
Jordan,Jordan
http://www.parliament.jo/en,http://www.parliament.jo/en
Less than monthly,Less than monthly
http://www.representatives.jo/pdf/constitutions.pdf,http://www.representatives.jo/pdf/constitutions.pdf
http://www.representatives.jo/pdf/InsideAll.pdf,http://www.representatives.jo/pdf/InsideAll.pdf
http://www.representatives.jo/,http://www.representatives.jo/
"yes, but they are being published after the session takes place not in advance","yes, but they are being published after the session takes place not in advance"
http://www.lob.jo/,http://www.lob.jo/
Not available ,Not available 
http://www.representatives.jo/ar,http://www.representatives.jo/ar
www.skupstina.me,www.skupstina.me
Contextual information or reports,Contextual information or reports
"www.skupstina.me/index.php/me/skupstina/o-nama/uvodna-rijec, www.skupstina.me/images/dokumenti/brosure/Nadleznosti_i_funkcije.pdf","www.skupstina.me/index.php/me/skupstina/o-nama/uvodna-rijec, www.skupstina.me/images/dokumenti/brosure/Nadleznosti_i_funkcije.pdf"
www.skupstina.me/images/dokumenti/brosure/Nadleznosti_i_funkcije.pdf,www.skupstina.me/images/dokumenti/brosure/Nadleznosti_i_funkcije.pdf
www.skupstina.me/images/dokumenti/Izvjestaj_o_radu_Skupstine_za_2013.godinu.pdf,www.skupstina.me/images/dokumenti/Izvjestaj_o_radu_Skupstine_za_2013.godinu.pdf
www.skupstina.me/index.php/me/skupstina/o-nama/nadleznosti,www.skupstina.me/index.php/me/skupstina/o-nama/nadleznosti
www.skupstina.me/images/dokumenti/Poslovnik_Skupstine_Crne_Gore_2014.pdf,www.skupstina.me/images/dokumenti/Poslovnik_Skupstine_Crne_Gore_2014.pdf
www.skupstina.me/index.php/me/kalendar-zasijedanja,www.skupstina.me/index.php/me/kalendar-zasijedanja
"www.skupstina.me/index.php/me/sjednice/sjednice-skupstine, www.skupstina.me/~skupcg/skupstina/cms/site_data/2014%20PLENUM/prvo%20redovno%20proljecnje%20zasijedanje%20u%202014/druga%20sjednica%20proljecnjeg%20zasijedanja.pdf, http://192.185.34.202/~skupcg/skupstina/cms/site_data/LISTING%20GLASANJA/2014/Druga%20sjednica%20prvog%20redovnog12_03_2014_/FISKALNOJ.pdf","www.skupstina.me/index.php/me/sjednice/sjednice-skupstine, www.skupstina.me/~skupcg/skupstina/cms/site_data/2014%20PLENUM/prvo%20redovno%20proljecnje%20zasijedanje%20u%202014/druga%20sjednica%20proljecnjeg%20zasijedanja.pdf, http://192.185.34.202/~skupcg/skupstina/cms/site_data/LISTING%20GLASANJA/2014/Druga%20sjednica%20prvog%20redovnog12_03_2014_/FISKALNOJ.pdf"
As soon as they are established,As soon as they are established
Parliament's Youtube channel,Parliament's Youtube channel
"www.skupstina.me/index.php/me/sjednice/sjednice-skupstine, http://www.skupstina.me/~skupcg/skupstina/cms/site_data/2014%20PLENUM/2_sj_fono_2014.pdf","www.skupstina.me/index.php/me/sjednice/sjednice-skupstine, http://www.skupstina.me/~skupcg/skupstina/cms/site_data/2014%20PLENUM/2_sj_fono_2014.pdf"
e.g: http://192.185.34.202/~skupcg/skupstina/cms/site_data/LISTING%20GLASANJA/2014/Druga%20sjednica%20prvog%20redovnog12_03_2014_/FISKALNOJ.pdf,e.g: http://192.185.34.202/~skupcg/skupstina/cms/site_data/LISTING%20GLASANJA/2014/Druga%20sjednica%20prvog%20redovnog12_03_2014_/FISKALNOJ.pdf
All voting records with individual names and vote taken are publicly available and linked to the piece of legislation and/or amendment in question.,All voting records with individual names and vote taken are publicly available and linked to the piece of legislation and/or amendment in question.
"e.g:http://www.skupstina.me/index.php/me/sjednice/sjednice-skupstine, http://192.185.34.202/~skupcg/skupstina/cms/site_data/DOC25/ZAKONI%20I%20IZVJESTAJI/260/260_0.pdf","e.g:http://www.skupstina.me/index.php/me/sjednice/sjednice-skupstine, http://192.185.34.202/~skupcg/skupstina/cms/site_data/DOC25/ZAKONI%20I%20IZVJESTAJI/260/260_0.pdf"
e.g: http://www.skupstina.me/index.php/me/sjednice/sjednice-skupstine,e.g: http://www.skupstina.me/index.php/me/sjednice/sjednice-skupstine
http://www.skupstina.me/index.php/me/sjednice/zakoni-i-drugi-akti,http://www.skupstina.me/index.php/me/sjednice/zakoni-i-drugi-akti
e.g: http://192.185.34.202/~skupcg/skupstina/cms/site_data/DOC25/ZAKONI%20I%20IZVJESTAJI/477/477_0.pdf,e.g: http://192.185.34.202/~skupcg/skupstina/cms/site_data/DOC25/ZAKONI%20I%20IZVJESTAJI/477/477_0.pdf
Bulk download,Bulk download
"http://www.skupstina.me/index.php/me/administrativni-odbor/aktuelnosti, http://www.skupstina.me/images/dokumenti/brosure/Odbori.pdf, ","http://www.skupstina.me/index.php/me/administrativni-odbor/aktuelnosti, http://www.skupstina.me/images/dokumenti/brosure/Odbori.pdf, "
Committees do not have their own rules.,Committees do not have their own rules.
"Committee meetings are open to the media and to the persons invited by the committee, as specified in the Rules of Procedure. ","Committee meetings are open to the media and to the persons invited by the committee, as specified in the Rules of Procedure. "
Committees have annual plans of work that also include quarterly schedules.,Committees have annual plans of work that also include quarterly schedules.
As soon as they are established.,As soon as they are established.
e.g: http://www.skupstina.me/index.php/me/odbor-za-evropske-integracije/sjednice,e.g: http://www.skupstina.me/index.php/me/odbor-za-evropske-integracije/sjednice
As soon as the agenda is established.,As soon as the agenda is established.
"Verbatim committee transcripts are made upon the proposal of the chair or one-third of the committee members. As a rule, verbatim transcripts are made for all control hearings that committee have held.","Verbatim committee transcripts are made upon the proposal of the chair or one-third of the committee members. As a rule, verbatim transcripts are made for all control hearings that committee have held."
"Yes, through committee reports and minutes","Yes, through committee reports and minutes"
http://www.skupstina.me/index.php/me/radna-grupa-za-izgradivanje-povjerenja-u-izborni-proces/dokumenta,http://www.skupstina.me/index.php/me/radna-grupa-za-izgradivanje-povjerenja-u-izborni-proces/dokumenta
e.g: http://www.skupstina.me/~skupcg/skupstina/cms/site_data/25%20saziv%20ODBORI/EKONOMIJA%20FINANSIJE%20/izvje%C5%A1taj1%20-%2049_%20sjednica.pdf,e.g: http://www.skupstina.me/~skupcg/skupstina/cms/site_data/25%20saziv%20ODBORI/EKONOMIJA%20FINANSIJE%20/izvje%C5%A1taj1%20-%2049_%20sjednica.pdf
e.g: http://www.skupstina.me/~skupcg/skupstina//cms/site_data/PRVA%20SJEDNICA-Prestanak%20vazenja%20Odluke.pdf,e.g: http://www.skupstina.me/~skupcg/skupstina//cms/site_data/PRVA%20SJEDNICA-Prestanak%20vazenja%20Odluke.pdf
http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/prava-i-duznosti,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/prava-i-duznosti
"http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/lista-poslanika-i-poslanica, ","http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/lista-poslanika-i-poslanica, "
http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/lista-poslanika-i-poslanica,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/lista-poslanika-i-poslanica
N/A,N/A
http://www.skupstina.me/images/dokumenti/izvjestaji/neto_zarade_poslanika_za_2013._godinu.pdf,http://www.skupstina.me/images/dokumenti/izvjestaji/neto_zarade_poslanika_za_2013._godinu.pdf
"According to the Law on Lobbying, registry lists of active lobbyists are public.","According to the Law on Lobbying, registry lists of active lobbyists are public."
"http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/lista-poslanika-i-poslanica, e.g: http://www.konfliktinteresa.me/funkcioneri/EvidFunPrijave.php?ID=Ojg-PjU_OiY4Pz43NQ","http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/lista-poslanika-i-poslanica, e.g: http://www.konfliktinteresa.me/funkcioneri/EvidFunPrijave.php?ID=Ojg-PjU_OiY4Pz43NQ"
"According to the Law on prevention of conflict of interests, public official including MPs may not be the president or member of a management body nor supervisory body,  executive director, member of management of the public company, public institution or other legal entity.","According to the Law on prevention of conflict of interests, public official including MPs may not be the president or member of a management body nor supervisory body,  executive director, member of management of the public company, public institution or other legal entity."
Draft Code of Ethics envisages that the results of internal parliamentary investigations are public.,Draft Code of Ethics envisages that the results of internal parliamentary investigations are public.
http://www.skupstina.me/index.php/me/gradjani/finansije,http://www.skupstina.me/index.php/me/gradjani/finansije
http://www.skupstina.me/index.php/me/gradjani/javne-nabavke/ugovori,http://www.skupstina.me/index.php/me/gradjani/javne-nabavke/ugovori
http://www.skupstina.me/index.php/me/skupstina/sluzba-skupstine/opis-poslova-organizacionih-jedinica,http://www.skupstina.me/index.php/me/skupstina/sluzba-skupstine/opis-poslova-organizacionih-jedinica
http://www.skupstina.me/index.php/me/skupstina/o-nama/kontakt-informacije,http://www.skupstina.me/index.php/me/skupstina/o-nama/kontakt-informacije
United Kingdom,United Kingdom
http://www.parliament.uk/site-information/copyright/open-parliament-licence/ ,http://www.parliament.uk/site-information/copyright/open-parliament-licence/ 
http://www.parliament.uk/,http://www.parliament.uk/
http://www.parliament.uk/about/,http://www.parliament.uk/about/
http://www.parliament.uk/about/how/laws/,http://www.parliament.uk/about/how/laws/
http://www.legislation.gov.uk/ukpga/2014/27/notes/contents,http://www.legislation.gov.uk/ukpga/2014/27/notes/contents
http://www.publications.parliament.uk/pa/bills/lbill/2014-2015/0001/en/15001en.htm,http://www.publications.parliament.uk/pa/bills/lbill/2014-2015/0001/en/15001en.htm
http://www.parliament.uk/business/publications/research/,http://www.parliament.uk/business/publications/research/
http://www.parliament.uk/site-information/using-this-website/privacy-policy/,http://www.parliament.uk/site-information/using-this-website/privacy-policy/
SMS or mobile technology,SMS or mobile technology
http://www.parliament.uk/about/how/role/,http://www.parliament.uk/about/how/role/
http://www.parliament.uk/about/how/role/customs/,http://www.parliament.uk/about/how/role/customs/
http://services.parliament.uk/calendar/,http://services.parliament.uk/calendar/
http://services.parliament.uk/calendar/Commons/MainChamber/2014/10/13/events.html,http://services.parliament.uk/calendar/Commons/MainChamber/2014/10/13/events.html
http://www.parliamentlive.tv/Main/Home.aspx,http://www.parliamentlive.tv/Main/Home.aspx
http://www.parliament.uk/business/publications/hansard/commons/,http://www.parliament.uk/business/publications/hansard/commons/
http://www.data.parliament.uk/about,http://www.data.parliament.uk/about
http://www.data.parliament.uk/about as referred to in q51,http://www.data.parliament.uk/about as referred to in q51
http://services.parliament.uk/bills/2014-15/seriouscrime/documents.html,http://services.parliament.uk/bills/2014-15/seriouscrime/documents.html
See for example http://services.parliament.uk/bills/2014-15/seriouscrime.html,See for example http://services.parliament.uk/bills/2014-15/seriouscrime.html
The government maintains a database of all legislation: http://www.legislation.gov.uk/. ,The government maintains a database of all legislation: http://www.legislation.gov.uk/. 
"This is a very complex area!  Oral and written evidence to Committees is published on the Committee's pages: e.g. http://www.parliament.uk/business/committees/committees-a-z/commons-select/home-affairs-committee/publications.  Command Papers are the collective name given to different types of papers prepared by the Government and presented to Parliament with the words ""presented to Parliament by command of His/Her Majesty"". The following documents are all types of Command Paper: Treaties, some White papers, some Green Papers, some Government replies to Select Committee reports, reports of Royal Commissions, reports of some major committees of inquiry, annual reports and statistics of certain bodies (judicial, penal, immigration).  These are published by Government rather than Parliament: https://www.gov.uk/government/publications and use ""official document status"" filter on LH side of page.  Also available for public inspection in Parliament.  For further info see http://www.parliament.uk/about/how/publications/government/ ","This is a very complex area!  Oral and written evidence to Committees is published on the Committee's pages: e.g. http://www.parliament.uk/business/committees/committees-a-z/commons-select/home-affairs-committee/publications.  Command Papers are the collective name given to different types of papers prepared by the Government and presented to Parliament with the words ""presented to Parliament by command of His/Her Majesty"". The following documents are all types of Command Paper: Treaties, some White papers, some Green Papers, some Government replies to Select Committee reports, reports of Royal Commissions, reports of some major committees of inquiry, annual reports and statistics of certain bodies (judicial, penal, immigration).  These are published by Government rather than Parliament: https://www.gov.uk/government/publications and use ""official document status"" filter on LH side of page.  Also available for public inspection in Parliament.  For further info see http://www.parliament.uk/about/how/publications/government/ "
Excel or CSV,Excel or CSV
http://www.parliament.uk/about/how/committees/,http://www.parliament.uk/about/how/committees/
http://www.publications.parliament.uk/pa/cm200102/cmstords/27519.htm,http://www.publications.parliament.uk/pa/cm200102/cmstords/27519.htm
"Deliberation generally in private, evidence hearings generally in public","Deliberation generally in private, evidence hearings generally in public"
At present broadcasting facilities are limited meaning that it is not possible to provide a broadcast quality feed of all committees simultaneously,At present broadcasting facilities are limited meaning that it is not possible to provide a broadcast quality feed of all committees simultaneously
http://www.parliament.uk/business/committees/hoc-news3/,http://www.parliament.uk/business/committees/hoc-news3/
Via House of Commons Information Office,Via House of Commons Information Office
Depends on the committee and the circumstances.  Often meetings are arranged at short notice in response to developments in the news,Depends on the committee and the circumstances.  Often meetings are arranged at short notice in response to developments in the news
Via Committee website e.g. http://www.parliament.uk/business/committees/committees-a-z/commons-select/defence-committee/,Via Committee website e.g. http://www.parliament.uk/business/committees/committees-a-z/commons-select/defence-committee/
Through HCIO or Committee staff,Through HCIO or Committee staff
See response to 68 above,See response to 68 above
Via website e.g. http://www.parliament.uk/business/committees/committees-a-z/commons-select/defence-committee/publications/,Via website e.g. http://www.parliament.uk/business/committees/committees-a-z/commons-select/defence-committee/publications/
Via Parliamentary Archives,Via Parliamentary Archives
Via website e.g. http://www.parliament.uk/business/committees/committees-a-z/commons-select/defence-committee/publications,Via website e.g. http://www.parliament.uk/business/committees/committees-a-z/commons-select/defence-committee/publications
Via Parliamentary Archives or HCIO,Via Parliamentary Archives or HCIO
Via TSO or to inspect in person at the Parliamentary Archives,Via TSO or to inspect in person at the Parliamentary Archives
"These appear in the Committee's formal minutes, available via the Committee publications web pages","These appear in the Committee's formal minutes, available via the Committee publications web pages"
http://www.parliament.uk/mps-lords-and-offices/,http://www.parliament.uk/mps-lords-and-offices/
Various paid-for digests,Various paid-for digests
Via HCIO,Via HCIO
"Attendance is not kept in the House of Commons, only roll call voting records.","Attendance is not kept in the House of Commons, only roll call voting records."
http://www.publications.parliament.uk/pa/cm/cmsesret.htm,http://www.publications.parliament.uk/pa/cm/cmsesret.htm
Published by TSO,Published by TSO
http://parliamentarystandards.org.uk/Pages/default.aspx,http://parliamentarystandards.org.uk/Pages/default.aspx
Legislation to establish a register of lobbyists has just been passed: http://www.legislation.gov.uk/ukpga/2014/4/notes/division/2.,Legislation to establish a register of lobbyists has just been passed: http://www.legislation.gov.uk/ukpga/2014/4/notes/division/2.
http://www.publications.parliament.uk/pa/cm/cmregmem/contents1415.htm,http://www.publications.parliament.uk/pa/cm/cmregmem/contents1415.htm
Board participation is only disclosed if that activity is remunerated.,Board participation is only disclosed if that activity is remunerated.
http://www.parliament.uk/business/committees/committees-a-z/commons-select/standards/,http://www.parliament.uk/business/committees/committees-a-z/commons-select/standards/
http://www.parliament.uk/business/publications/commons/resource-accounts/,http://www.parliament.uk/business/publications/commons/resource-accounts/
http://www.parliament.uk/mps-lords-and-offices/offices/commons/csd/,http://www.parliament.uk/mps-lords-and-offices/offices/commons/csd/
http://www.parliament.uk/mps-lords-and-offices/offices/commons/management-board/management-board-publications1/annual-business-plans/,http://www.parliament.uk/mps-lords-and-offices/offices/commons/management-board/management-board-publications1/annual-business-plans/
Macedonia,Macedonia
http://www.sobranie.mk/sessiondetailsrabotni.nspx?sessionDetailsId=f1e02155-1b24-4307-9a5f-3107e636a366,http://www.sobranie.mk/sessiondetailsrabotni.nspx?sessionDetailsId=f1e02155-1b24-4307-9a5f-3107e636a366
http://www.sobranie.mk/home-en.nspx,http://www.sobranie.mk/home-en.nspx
"Yes, in person observers at the parliament are provided with interpretation","Yes, in person observers at the parliament are provided with interpretation"
"Yes, with all languages made available in near real time","Yes, with all languages made available in near real time"
Committee agendas,Committee agendas
Committee voting records,Committee voting records
http://www.sobranie.mk/home-al.nspx,http://www.sobranie.mk/home-al.nspx
http://www.sobranie.mk/agjenda-ditore-2014-ns_article-seanca-nr-17-e-kuvendit-te-republikes-se-maqedonise.nspx,http://www.sobranie.mk/agjenda-ditore-2014-ns_article-seanca-nr-17-e-kuvendit-te-republikes-se-maqedonise.nspx
